TIER,Alimento,Categoria,Proteine (g),Proteine (%),Grassi (g),Grassi (%),Carboidrati (g),Carboidrati (%),Fibre (g),Fibre (%),Omega-3 (ALA) (g),Omega-3 (ALA) (%),Omega-6 (g),Omega-6 (%),Calcio (g),Calcio (%),Ferro (g),Ferro (%),Magnesio (g),Magnesio (%),Potassio (g),Potassio (%),Zinco (g),Zinco (%),Vitamina A (g),Vitamina A (%),Vitamina C (g),Vitamina C (%),Vitamina D (g),Vitamina D (%),Vitamina E (g),Vitamina E (%),Vitamina K (g),Vitamina K (%),Vitamina B6 (g),Vitamina B6 (%),Folati (B9) (g),Folati (B9) (%),Vitamina B12 (g),Vitamina B12 (%)
,Aglio,Verdura,6.4,0.128,0.5,0.0071428571428571,33.1,0.127307692307692,2.1,0.07,0.0,0.0,0.000229,2.29e-05,0.181,0.181,0.0017,0.121428571428571,2.5e-05,6.66666666666667e-05,0.401,0.114571428571429,0.000116,0.0116,0.0,0.0,0.031,0.413333333333333,0.0,0.0,8e-05,0.0066666666666666,1.7e-06,0.0226666666666667,0.001235,0.882142857142857,3e-06,0.015,0.0,0.0
,Piselli,Verdura,5.4,0.108,0.4,0.0057142857142857,14.5,0.0557692307692308,5.1,0.17,5e-06,3.125e-06,0.000187,1.87e-05,0.025,0.025,0.0015,0.107142857142857,3.3e-05,8.8e-05,0.244,0.0697142857142857,0.00012,0.012,3.8e-05,0.0475,0.04,0.533333333333333,0.0,0.0,0.00013,0.0108333333333333,2.48e-05,0.330666666666667,0.000169,0.120714285714286,6.5e-05,0.325,0.0,0.0
,Cavoletti di Bruxelles,Verdura,3.4,0.068,0.3,0.0042857142857142,9.0,0.0346153846153846,3.8,0.126666666666667,9.8e-05,6.125e-05,4.5e-05,4.5e-06,0.042,0.042,0.0014,0.1,2.3e-05,6.13333333333333e-05,0.389,0.111142857142857,4.2e-05,0.0042,3.8e-05,0.0475,0.085,1.13333333333333,0.0,0.0,0.00088,0.0733333333333333,0.000177,2.36,0.000219,0.156428571428571,6.1e-05,0.305,0.0,0.0
,Carciofi,Verdura,3.3,0.066,0.2,0.0028571428571428,11.0,0.0423076923076923,5.4,0.18,0.0,0.0,6.4e-05,6.4e-06,0.044,0.044,0.0012,0.0857142857142857,6e-05,0.00016,0.37,0.105714285714286,4.9e-05,0.0049,0.0,0.0,0.012,0.16,0.0,0.0,0.00019,0.0158333333333333,1.47e-05,0.196,0.000116,0.0828571428571429,6.8e-05,0.34,0.0,0.0
,Mais,Verdura,3.3,0.066,1.4,0.02,19.0,0.0730769230769231,2.7,0.09,1.9e-05,1.1875e-05,0.000586,5.86e-05,0.002,0.002,0.00052,0.0371428571428571,3.7e-05,9.86666666666667e-05,0.27,0.0771428571428572,4.6e-05,0.0046,9e-06,0.01125,0.0068,0.0906666666666667,0.0,0.0,7e-05,0.0058333333333333,3e-07,0.004,5.5e-05,0.0392857142857143,4.6e-05,0.23,0.0,0.0
,Cavolo collard,Verdura,3.0,0.06,0.6,0.0085714285714285,5.4,0.0207692307692308,4.0,0.133333333333333,0.000181,0.000113125,0.000135,1.35e-05,0.232,0.232,0.00047,0.0335714285714286,2.7e-05,7.2e-05,0.213,0.0608571428571429,2.1e-05,0.0021,0.000251,0.31375,0.035,0.466666666666667,0.0,0.0,0.0009,0.075,0.000437,5.82666666666667,0.000165,0.117857142857143,0.000129,0.645,0.0,0.0
,Spinaci,Verdura,2.9,0.058,0.4,0.0057142857142857,3.6,0.0138461538461538,2.2,0.0733333333333333,0.000138,8.625e-05,2.6e-05,2.6e-06,0.099,0.099,0.0027,0.192857142857143,7.9e-05,0.0002106666666666,0.558,0.159428571428571,5.3e-05,0.0053,0.000469,0.58625,0.028,0.373333333333333,0.0,0.0,0.002,0.166666666666667,0.000483,6.44,0.000195,0.139285714285714,0.000194,0.97,0.0,0.0
,Cavolo riccio (Kale),Verdura,2.9,0.058,0.9,0.0128571428571429,4.4,0.0169230769230769,4.1,0.136666666666667,0.00018,0.0001125,0.000138,1.38e-05,0.254,0.254,0.0016,0.114285714285714,3.3e-05,8.8e-05,0.348,0.0994285714285714,4.4e-05,0.0044,0.000241,0.30125,0.093,1.24,0.0,0.0,0.00067,0.0558333333333333,0.00039,5.2,0.000147,0.105,6.2e-05,0.31,0.0,0.0
,Broccoli,Verdura,2.8,0.056,0.4,0.0057142857142857,6.6,0.0253846153846154,2.6,0.0866666666666667,2.1e-05,1.3125e-05,1.7e-05,1.7e-06,0.047,0.047,0.00073,0.0521428571428571,2.1e-05,5.6e-05,0.316,0.0902857142857143,4.1e-05,0.0041,3.1e-05,0.03875,0.089,1.18666666666667,0.0,0.0,0.00078,0.065,0.000102,1.36,0.000175,0.125,6.3e-05,0.315,0.0,0.0
,Senape verde,Verdura,2.7,0.054,0.4,0.0057142857142857,4.7,0.0180769230769231,3.2,0.106666666666667,1.8e-05,1.125e-05,1e-05,1e-06,0.115,0.115,0.0016,0.114285714285714,3.2e-05,8.53333333333333e-05,0.384,0.109714285714286,2.5e-05,0.0025,0.000151,0.18875,0.07,0.933333333333334,0.0,0.0,0.0022,0.183333333333333,0.000258,3.44,0.00018,0.128571428571429,0.000187,0.935,0.0,0.0
